,Код ЕСР,Краткое наименование,Полное наименование,Регион,ЖД
1,1000,ПЕТРОЗАВОДСК,ПЕТРОЗАВОДСК,Республика Карелия,Октябрьская
2,1030,ТОМИЦЫ,ТОМИЦЫ,Республика Карелия,Октябрьская
3,1040,ШУЙСКАЯ,ШУЙСКАЯ,Республика Карелия,Октябрьская
4,1050,СУНА,СУНА,Республика Карелия,Октябрьская
5,1060,ЗАДЕЛЬЕ,ЗАДЕЛЬЕ,Республика Карелия,Октябрьская
6,1070,КОНДОПОГА,КОНДОПОГА,Республика Карелия,Октябрьская
7,1080,КЕДРОЗЕРО,КЕДРОЗЕРО,Республика Карелия,Октябрьская
8,1150,НОВЫЙ ПОСЕЛОК,НОВЫЙ ПОСЕЛОК,Республика Карелия,Октябрьская
9,1090,НИГОЗЕРО,НИГОЗЕРО,Республика Карелия,Октябрьская
10,1100,КЯППЕСЕЛЬГА,КЯППЕСЕЛЬГА,Республика Карелия,Октябрьская
11,1110,ПЕРГУБА,ПЕРГУБА,Республика Карелия,Октябрьская
12,1130,МЕДВЕЖ ГОРА,МЕДВЕЖЬЯ ГОРА,Республика Карелия,Октябрьская
13,1140,ВИЧКА,ВИЧКА,Республика Карелия,Октябрьская
14,1180,СЕГЕЖА,СЕГЕЖА,Республика Карелия,Октябрьская
15,1190,НАДВОИЦЫ,НАДВОИЦЫ,Республика Карелия,Октябрьская
16,1200,КОЧКОМА,КОЧКОМА,Республика Карелия,Октябрьская
17,1210,ИДЕЛЬ,ИДЕЛЬ,Республика Карелия,Октябрьская
18,1220,ЛЕТНИЙ,ЛЕТНИЙ,Республика Карелия,Октябрьская
19,1230,СОСНОВЕЦ,СОСНОВЕЦ,Республика Карелия,Октябрьская
20,1270,СУМСКИЙ ПОСАД,СУМСКИЙ ПОСАД,Республика Карелия,Октябрьская
21,1280,МЕДВЕЖ Г-ПЕР,МЕДВЕЖЬЯ ГОРА (ПЕРЕВ.),Республика Карелия,Октябрьская
22,1300,БЕЛОМОРСК,БЕЛОМОРСК,Республика Карелия,Октябрьская
23,1320,КЕМЬ,КЕМЬ,Республика Карелия,Октябрьская
24,1350,КУЗЕМА,КУЗЕМА,Республика Карелия,Октябрьская
25,1360,ЭНГОЗЕРО,ЭНГОЗЕРО,Республика Карелия,Октябрьская
26,1370,АМБАРНЫЙ,АМБАРНЫЙ,Республика Карелия,Октябрьская
27,1380,ЛОУХИ,ЛОУХИ,Республика Карелия,Октябрьская
28,1410,ПЯОЗЕРО,ПЯОЗЕРО,Республика Карелия,Октябрьская
29,1430,ЧУПА,ЧУПА,Республика Карелия,Октябрьская
30,1440,КНЯЖАЯ,КНЯЖАЯ,Мурманская область,Октябрьская
31,1470,АЛАКУРТТИ,АЛАКУРТТИ,Мурманская область,Октябрьская
32,1480,БЕЛОЕ МОРЕ,БЕЛОЕ МОРЕ,Мурманская область,Октябрьская
33,1490,КАНДАЛАКША,КАНДАЛАКША,Мурманская область,Октябрьская
34,1500,КАНДАЛАК-ПЕР,КАНДАЛАКША (ПЕРЕВ.),Мурманская область,Октябрьская
35,1510,ПИНОЗЕРО,ПИНОЗЕРО,Мурманская область,Октябрьская
36,1520,ЕНА,ЕНА,Мурманская область,Октябрьская
37,1540,КОВДОР,КОВДОР,Мурманская область,Октябрьская
38,1550,ПОЛЯРНЫЕ ЗОРИ,ПОЛЯРНЫЕ ЗОРИ,Мурманская область,Октябрьская
39,1560,АФРИКАНДА,АФРИКАНДА,Мурманская область,Октябрьская
40,1570,КАНДАЛАК-Э,КАНДАЛАКША (ЭКСП.),Мурманская область,Октябрьская
41,1580,ТИТАН,ТИТАН,Мурманская область,Октябрьская
42,1600,АПАТИТЫ,АПАТИТЫ,Мурманская область,Октябрьская
43,1630,ОЛЕНЕГОРСК,ОЛЕНЕГОРСК,Мурманская область,Октябрьская
44,1640,МОНЧЕГОРСК,МОНЧЕГОРСК,Мурманская область,Октябрьская
45,1660,ЛАПЛАНДИЯ,ЛАПЛАНДИЯ,Мурманская область,Октябрьская
46,1700,КОЛА,КОЛА,Мурманская область,Октябрьская
47,1710,МУРМАШИ,МУРМАШИ,Мурманская область,Октябрьская
48,1720,КОЛА-Э,КОЛА (ЭКСП.),Мурманская область,Октябрьская
49,1730,ПЯЙВЕ,ПЯЙВЕ,Мурманская область,Октябрьская
50,1790,ЛУОСТАРИ,ЛУОСТАРИ,Мурманская область,Октябрьская
51,1800,ПЕЧЕНГА,ПЕЧЕНГА,Мурманская область,Октябрьская
52,1810,ЗАПОЛЯРНАЯ,ЗАПОЛЯРНАЯ,Мурманская область,Октябрьская
53,1820,НИКЕЛЬ-МУРМ,НИКЕЛЬ-МУРМАНСКИЙ,Мурманская область,Октябрьская
54,1830,МУРМАНСК-ПЕР,МУРМАНСК (ПЕРЕВ.),Мурманская область,Октябрьская
55,1840,МУРМАНСК,МУРМАНСК,Мурманская область,Октябрьская
56,1850,МУРМАНСК-Э,МУРМАНСК (ЭКСП.),Мурманская область,Октябрьская
57,1860,КОМСОМОЛ-МУР,КОМСОМОЛЬСК-МУРМАНСКИЙ,Мурманская область,Октябрьская
58,1900,ВАЕНГА,ВАЕНГА,Мурманская область,Октябрьская
59,2000,ВЫБОРГ,ВЫБОРГ,Ленинградская область,Октябрьская
60,2100,ТАММИСУО,ТАММИСУО,Ленинградская область,Октябрьская
61,2010,ВЫБОРГ-Э,ВЫБОРГ (ЭКСП.),Ленинградская область,Октябрьская
62,2020,ЕРМИЛОВО,ЕРМИЛОВО,Ленинградская область,Октябрьская
63,2030,ПРИМОРСК,ПРИМОРСК,Ленинградская область,Октябрьская
64,2040,ПРИБЫЛОВО,ПРИБЫЛОВО,Ленинградская область,Октябрьская
65,2050,СОВЕТСКИЙ,СОВЕТСКИЙ,Ленинградская область,Октябрьская
66,2060,ВЫСОЦК,ВЫСОЦК,Ленинградская область,Октябрьская
67,2070,ВЫСОЦК-Э,ВЫСОЦК (ЭКСП.),Ленинградская область,Октябрьская
68,2080,КИРИЛЛОВСКОЕ,КИРИЛЛОВСКОЕ,Ленинградская область,Октябрьская
69,2090,ГАВРИЛОВО,ГАВРИЛОВО,Ленинградская область,Октябрьская
70,2120,ВЕРХНЕЧЕРКАС,ВЕРХНЕЧЕРКАСОВО,Ленинградская область,Октябрьская
