,Код ЕСР,Краткое наименование,Полное наименование,Регион,ЖД,coords,lat,lon
978,17000,СМОЛЕНСК-СОРТ,СМОЛЕНСК-СОРТИРОВОЧНЫЙ,Смоленская область,Московская,"('54.797585', '32.034188')",54.797585,32.034188
979,17010,СМОЛЕНСК,СМОЛЕНСК,Смоленская область,Московская,"('54.797585', '32.034188')",54.797585,32.034188
980,17080,ЕЛЬНЯ,ЕЛЬНЯ,Смоленская область,Московская,"('54.574144', '33.169935')",54.574144,33.169935
981,17110,ГНЕЗДОВО,ГНЕЗДОВО,Смоленская область,Московская,"('54.779473', '31.862471')",54.779473,31.862471
982,17130,ГУСИНО,ГУСИНО,Смоленская область,Московская,"('54.725387', '31.369076')",54.725387,31.369076
983,17140,КРАСНОЕ-Э,КРАСНОЕ (ЭКСП.),Смоленская область,Московская,"('54.682682', '31.034721')",54.682682,31.034721
984,17160,КРАСНЫЙ БОР,КРАСНЫЙ БОР,Смоленская область,Московская,"('54.800117', '31.903409')",54.800117,31.903409
985,17170,ГОЛЫНКИ,ГОЛЫНКИ,Смоленская область,Московская,"('54.867694', '31.388403')",54.867694,31.388403
986,17190,РУДНЯ,РУДНЯ,Смоленская область,Московская,"('54.947095', '31.063719')",54.947095,31.063719
987,17200,РУДНЯ-Э,РУДНЯ (ЭКСП.),Смоленская область,Московская,"('54.947095', '31.063719')",54.947095,31.063719
988,17210,КАРДЫМОВО,КАРДЫМОВО,Смоленская область,Московская,"('54.884608', '32.448757')",54.884608,32.448757
989,17230,ЯРЦЕВО,ЯРЦЕВО,Смоленская область,Московская,"('55.06731', '32.653614')",55.06731,32.653614
990,17240,МИЛОХОВО,МИЛОХОВО,Смоленская область,Московская,"('55.069007', '32.789871')",55.069007,32.789871
991,17250,САФОНОВО,САФОНОВО,Смоленская область,Московская,"('55.105039', '33.243069')",55.105039,33.243069
992,17270,АЗОТНАЯ,АЗОТНАЯ,Смоленская область,Московская,"('54.97865', '33.359705')",54.97865,33.359705
993,17300,ИГОРЕВСКАЯ,ИГОРЕВСКАЯ,Смоленская область,Московская,"('55.45663', '33.295889')",55.45663,33.295889
994,17340,ИЗДЕШКОВО,ИЗДЕШКОВО,Смоленская область,Московская,"('55.141187', '33.621178')",55.141187,33.621178
995,17360,СЕМЛЕВО,СЕМЛЕВО,Смоленская область,Московская,"('55.146283', '33.994403')",55.146283,33.994403
996,17380,СЫЧЕВКА,СЫЧЕВКА,Смоленская область,Московская,"('55.84411', '34.294772')",55.84411,34.294772
997,17390,НОВОДУГИНСКАЯ,НОВОДУГИНСКАЯ,Смоленская область,Московская,"('55.631939', '34.296591')",55.631939,34.296591
998,17410,ВЯЗЬМА-НОВОТ,ВЯЗЬМА-НОВОТОРЖСКАЯ,Смоленская область,Московская,"('55.227139', '34.322287')",55.227139,34.322287
999,17430,ВЯЗЬМА,ВЯЗЬМА,Смоленская область,Московская,"('55.198969', '34.317809')",55.198969,34.317809
1000,17440,ВЯЗЬМА-БРЯНС,ВЯЗЬМА-БРЯНСКАЯ,Смоленская область,Московская,"('55.170059', '34.369234')",55.170059,34.369234
1001,17460,ВОЛОСТА-ПЯТН,ВОЛОСТА-ПЯТНИЦА,Смоленская область,Московская,"('54.991172', '34.342489')",54.991172,34.342489
1002,17470,УГРА,УГРА,Смоленская область,Московская,"('54.779028', '34.342346')",54.779028,34.342346
1003,17520,ТУМАНОВО,ТУМАНОВО,Смоленская область,Московская,,,
1004,17540,ГАГАРИН,ГАГАРИН,Смоленская область,Московская,"('55.543502', '34.985132')",55.543502,34.985132
1005,17560,УВАРОВКА,УВАРОВКА,Московская область,Московская,"('55.532645', '35.609776')",55.532645,35.609776
1006,17580,БОРОДИНО,БОРОДИНО,Московская область,Московская,"('55.495975', '35.862587')",55.495975,35.862587
